mgmt_fee,perf_fee,mean_net_return,median_net_return,pct_positive
0.0,0.0,0.9736278636783104,0.3075359279250197,0.634
0.0,0.1,0.9363649418046296,0.253257119007325,0.626
0.0,0.2,0.8991020199309486,0.23217412806516102,0.618
0.01,0.0,0.9636278636783104,0.2975359279250197,0.628
0.01,0.1,0.9267476124196051,0.243757119007325,0.616
0.01,0.2,0.8898673611608999,0.22317412806516101,0.61
0.02,0.0,0.9536278636783106,0.2875359279250197,0.62
0.02,0.1,0.9171262279723671,0.234257119007325,0.612
0.02,0.2,0.8806245922664239,0.214174128065161,0.602
0.03,0.0,0.9436278636783104,0.2775359279250197,0.614
0.03,0.1,0.9075017356766951,0.22475711900732498,0.61
0.03,0.2,0.8713756076750798,0.205174128065161,0.6
0.04,0.0,0.9336278636783104,0.26753592792501973,0.608
0.04,0.1,0.8978724952906172,0.215257119007325,0.604
0.04,0.2,0.862117126902924,0.196174128065161,0.596
